dis,dis_name,dis_group,dis_group_name,dis_system,dis_system_name,dis_name_eng,SexDisease,chronic
A58,腹股沟肉芽肿,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Granuloma inguinale,0,0
A59,滴虫病[毛滴虫病],A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Trichomoniasis,0,0
A60,肛门生殖器的疱疹病毒[单纯疱疹]感染,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Anogenital herpesviral [herpes simplex] infection,0,1
A63,"其他主要为性传播的疾病,不可归类在他处者",A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,"Other predominantly sexually transmitted diseases, not elsewhere classified",0,0
A64,未特指的性传播疾病,A50-A64,主要为性传播模式的感染,A00-B99,传染病和寄生虫病,Unspecified sexually transmitted disease,0,0
A65,非性病性梅毒,A65-A69,其他螺旋体病,A00-B99,传染病和寄生虫病,Nonvenereal syphilis,0,0
A66,雅司病,A65-A69,其他螺旋体病,A00-B99,传染病和寄生虫病,Yaws,0,0
A67,品他病,A65-A69,其他螺旋体病,A00-B99,传染病和寄生虫病,Pinta [carate],0,0
A68,回归热,A65-A69,其他螺旋体病,A00-B99,传染病和寄生虫病,Relapsing fevers,0,0
A69,其他螺旋体感染,A65-A69,其他螺旋体病,A00-B99,传染病和寄生虫病,Other spirochaetal infections,0,0
A70,鹦鹉热衣原体感染,A70-A74,由衣原体引起的其他疾病,A00-B99,传染病和寄生虫病,Chlamydia psittaci infection,0,0
A71,沙眼,A70-A74,由衣原体引起的其他疾病,A00-B99,传染病和寄生虫病,Trachoma,0,1
A74,由衣原体引起的其他疾病,A70-A74,由衣原体引起的其他疾病,A00-B99,传染病和寄生虫病,Other diseases caused by chlamydiae,0,0
A75,斑疹伤寒,A75-A79,立克次体病,A00-B99,传染病和寄生虫病,Typhus fever,0,0
A77,斑疹热[蜱媒介的立克次体病],A75-A79,立克次体病,A00-B99,传染病和寄生虫病,Spotted fever [tick-borne rickettsioses],0,0
A78,Q热,A75-A79,立克次体病,A00-B99,传染病和寄生虫病,Q fever,0,0
A79,其他立克次体病,A75-A79,立克次体病,A00-B99,传染病和寄生虫病,Other rickettsioses,0,0
A80,急性脊髓灰质炎,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Acute poliomyelitis,0,0
A81,中枢神经系统的非典型病毒感染,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Atypical virus infections of central nervous system,0,1
A82,狂犬病,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Rabies,0,0
A83,蚊媒介的病毒性脑炎,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Mosquito-borne viral encephalitis,0,0
A84,蜱媒介的病毒性脑炎,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Tick-borne viral encephalitis,0,0
A85,"其他病毒性脑炎,不可归类在他处者",A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,"Other viral encephalitis, not elsewhere classified",0,0
A86,未特指的病毒性脑炎,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Unspecified viral encephalitis,0,0
A87,病毒性脑膜炎,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Viral meningitis,0,0
A88,"中枢神经系统的其他病毒性感染,不可归类在他处者",A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,"Other viral infections of central nervous system, not elsewhere classified",0,0
A89,中枢神经系统未特指的病毒性感染,A80-A89,中枢神经系统的病毒性感染,A00-B99,传染病和寄生虫病,Unspecified viral infection of central nervous system,0,0
A90,登革热[古典登革热],A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Dengue fever [classical dengue],0,0
A91,登革出血热,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Dengue haemorrhagic fever,0,0
A92,其他蚊媒介的病毒性发热,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Other mosquito-borne viral fevers,0,0
A93,"其他节肢动物媒介的病毒性发热,不可归类在他处者",A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,"Other arthropod-borne viral fevers, not elsewhere classified",0,0
A94,未特指的节肢动物媒介的病毒性发热,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Unspecified arthropod-borne viral fever,0,0
A95,黄热病,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Yellow fever,0,0
A96,沙粒病毒性出血热,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Arenaviral haemorrhagic fever,0,0
A98,"其他病毒性出血热,不可归类在他处者",A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,"Other viral haemorrhagic fevers, not elsewhere classified",0,0
A99,未特指的病毒性出血热,A90-A99,节肢动物媒介的病毒性发热和病毒性出血热,A00-B99,传染病和寄生虫病,Unspecified viral haemorrhagic fever,0,0
B00,疱疹病毒[单纯疱疹]感染,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Herpesviral [herpes simplex] infections,0,0
B01,水痘,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Varicella [chickenpox],0,0
B02,带状疱疹,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Zoster [herpes zoster],0,0
B03,天花,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Smallpox,0,0
B04,猴痘,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Monkeypox,0,0
B05,麻疹,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Measles,0,0
B06,风疹,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Rubella [German measles],0,0
B07,病毒性疣,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Viral warts,0,0
B08,"其他以皮肤和粘膜损害为特征的病毒性感染,不可归类在他处者",B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",0,0
B09,未特指的以皮肤和粘膜损害为特征的病毒性感染,B00-B09,特征为皮肤和粘膜损害的病毒性感染,A00-B99,传染病和寄生虫病,Unspecified viral infection characterized by skin and mucous membrane lesions,0,0
B15,急性甲型肝炎,B15-B19,病毒性肝炎,A00-B99,传染病和寄生虫病,Acute hepatitis A,0,0
B16,急性乙型肝炎,B15-B19,病毒性肝炎,A00-B99,传染病和寄生虫病,Acute hepatitis B,0,0
B17,其他急性病毒性肝炎,B15-B19,病毒性肝炎,A00-B99,传染病和寄生虫病,Other acute viral hepatitis,0,0
B18,慢性病毒性肝炎,B15-B19,病毒性肝炎,A00-B99,传染病和寄生虫病,Chronic viral hepatitis,0,2
B19,未特指的病毒性肝炎,B15-B19,病毒性肝炎,A00-B99,传染病和寄生虫病,Unspecified viral hepatitis,0,0
B20,人类免疫缺陷病毒[HIV]病造成的传染病和寄生虫病,B20-B24,HIV,A00-B99,传染病和寄生虫病,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,0,1
B21,人类免疫缺陷病毒[HIV]病造成的恶性肿瘤,B20-B24,HIV,A00-B99,传染病和寄生虫病,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,0,1
B22,人类免疫缺陷病毒[HIV]病造成的其他特指的疾病,B20-B24,HIV,A00-B99,传染病和寄生虫病,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,0,1
B23,人类免疫缺陷病毒[HIV]病造成的其他情况,B20-B24,HIV,A00-B99,传染病和寄生虫病,Human immunodeficiency virus [HIV] disease resulting in other conditions,0,1
B24,未特指的人类免疫缺陷病毒[HIV]病,B20-B24,HIV,A00-B99,传染病和寄生虫病,Unspecified human immunodeficiency virus [HIV] disease,0,1
B25,巨细胞病毒病,B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,Cytomegaloviral disease,0,2
B26,流行牲腮腺炎,B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,Mumps,0,0
B27,传染性单核细胞增多症,B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,Infectious mononucleosis,0,0
B30,病毒性结膜炎,B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,Viral conjunctivitis,0,0
B33,"其他病毒性疾病,不可归类在他处者",B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,"Other viral diseases, not elsewhere classified",0,0
B34,未特指部位的病毒性感染,B25-B34,其他病毒性疾病,A00-B99,传染病和寄生虫病,Viral infection of unspecified site,0,0
B35,皮肤癣菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Dermatophytosis,0,0
B36,其他浅部真菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Other superficial mycoses,0,0
B37,念珠菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Candidiasis,0,0
B38,肺球孢子菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Coccidioidomycosis,0,2
B39,组织胞浆菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Histoplasmosis,0,0
B40,芽生菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Blastomycosis,0,0
B41,副球孢子菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Paracoccidioidomycosis,0,0
B42,孢子丝菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Sporotrichosis,0,0
B43,着色真菌病与棕色真菌病性脓肿,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Chromomycosis and phaeomycotic abscess,0,0
B44,曲霉病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Aspergillosis,0,2
B45,隐球菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Cryptococcosis,0,0
B46,接合菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Zygomycosis,0,0
B47,足菌肿[足分枝菌病],B35-B49,真菌病,A00-B99,传染病和寄生虫病,Mycetoma,0,0
B48,"其他真菌病,不可归类在他处者",B35-B49,真菌病,A00-B99,传染病和寄生虫病,"Other mycoses, not elsewhere classified",0,0
B49,未特指的真菌病,B35-B49,真菌病,A00-B99,传染病和寄生虫病,Unspecified mycosis,0,0
B50,恶性疟原虫疟疾,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Plasmodium falciparum malaria,0,0
B51,间日疟原虫疟疾,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Plasmodium vivax malaria,0,0
B52,三日疟原虫疟疾,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Plasmodium malariae malaria,0,2
B53,其他经寄生虫学证实的疟疾,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Other parasitologically confirmed malaria,0,0
B54,未特指的疟疾,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Unspecified malaria,0,0
B55,利什曼病,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Leishmaniasis,0,0
B56,非洲锥虫病,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,African trypanosomiasis,0,0
B57,查加斯病,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Chagas' disease,0,0
B58,弓形虫病[弓形体病],B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Toxoplasmosis,0,0
B59,肺孢子虫病,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Pneumocystosis,0,0
B60,"其他原虫性疾病,不可归类在他处者",B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,"Other protozoal diseases, not elsewhere classified",0,2
B64,未特指的原虫性疾病,B50-B64,原虫性疾病,A00-B99,传染病和寄生虫病,Unspecified protozoal disease,0,0
B65,血吸虫病[裂体吸虫病],B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Schistosomiasis [bilharziasis],0,0
B66,其他吸虫感染,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Other fluke infections,0,0
B67,棘球蚴病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Echinococcosis,0,0
B68,绦虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Taeniasis,0,0
B69,囊虫病[囊尾蚴病],B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Cysticercosis,0,0
B70,裂头绦虫病和裂头蚴病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Diphyllobothriasis and sparganosis,0,0
B71,其他绦虫感染,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Other cestode infections,0,0
B72,龙线虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Dracunculiasis,0,0
B73,盘尾丝虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Onchocerciasis,0,0
B74,丝虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Filariasis,0,0
B75,旋毛虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Trichinellosis,0,0
B76,钩虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Hookworm diseases,0,0
B77,蛔虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Ascariasis,0,0
B78,类圆线虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Strongyloidiasis,0,0
B79,鞭虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Trichuriasis,0,0
B80,蛲虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Enterobiasis,0,0
B81,"其他肠道蠕虫病,不可归类在他处者",B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,"Other intestinal helminthiases, not elsewhere classified",0,0
B82,未特指的肠道寄生虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Unspecified intestinal parasitism,0,0
B83,其他蠕虫病,B65-B83,蠕虫病,A00-B99,传染病和寄生虫病,Other helminthiases,0,0
B85,虱病和阴虱病,B85-B89,虱病、螨病和其他病虫侵染,A00-B99,传染病和寄生虫病,Pediculosis and phthiriasis,0,0
B86,疥疮,B85-B89,虱病、螨病和其他病虫侵染,A00-B99,传染病和寄生虫病,Scabies,0,0
B87,蝇蛆病,B85-B89,虱病、螨病和其他病虫侵染,A00-B99,传染病和寄生虫病,Myiasis,0,0
B88,其他病虫侵染,B85-B89,虱病、螨病和其他病虫侵染,A00-B99,传染病和寄生虫病,Other infestations,0,0
B89,未特指的寄生虫病,B85-B89,虱病、螨病和其他病虫侵染,A00-B99,传染病和寄生虫病,Unspecified parasitic disease,0,0
B90,结核病后遗症,B90-B94,传染病和寄生虫病的后遗症,A00-B99,传染病和寄生虫病,Sequelae of tuberculosis,0,1
B91,脊髓灰质炎的后遗症,B90-B94,传染病和寄生虫病的后遗症,A00-B99,传染病和寄生虫病,Sequelae of poliomyelitis,0,1
B92,麻风的后遗症,B90-B94,传染病和寄生虫病的后遗症,A00-B99,传染病和寄生虫病,Sequelae of leprosy,0,1
B94,其他和未特指的传染病和寄生虫病的后遗症,B90-B94,传染病和寄生虫病的后遗症,A00-B99,传染病和寄生虫病,Sequelae of other and unspecified infectious and parasitic diseases,0,1
B95,链球菌和葡萄球菌作为分类于其他章疾病的原因,B95-B97,细菌、病毒和其他传染性病原体,A00-B99,传染病和寄生虫病,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,0,0
B96,其他特指细菌性病原体作为分类于其他章疾病的原因,B95-B97,细菌、病毒和其他传染性病原体,A00-B99,传染病和寄生虫病,Other bacterial agents as the cause of diseases classified to other chapters,0,0
B97,病毒性病原体作为分类于其他章疾病的原因,B95-B97,细菌、病毒和其他传染性病原体,A00-B99,传染病和寄生虫病,Viral agents as the cause of diseases classified to other chapters,0,0
B99,其他和未特指的传染病,B99,其他传染病,A00-B99,传染病和寄生虫病,Other and unspecified infectious diseases,0,0
C00,唇恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of lip,0,1
C01,舌根恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of base of tongue,0,1
C02,舌其他和未特指部位的恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and unspecified parts of tongue,0,1
C03,牙龈恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of gum,0,1
C04,口底恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of floor of mouth,0,1
C05,腭恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of palate,0,1
C06,口其他和未特指部位的恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and unspecified parts of mouth,0,1
C07,腮腺恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of parotid gland,0,1
C08,大涎腺其他和未特指的恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and unspecified major salivary glands,0,1
C09,扁桃体恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of tonsil,0,1
C10,口咽恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of oropharynx,0,1
C11,鼻咽恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of nasopharynx,0,1
C12,梨状窦恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of piriform sinus,0,1
C13,咽下部恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of hypopharynx,0,1
C14,唇、口腔和咽其他和部位不明的恶性肿瘤,C00-C14,唇、口腔和咽恶性肿瘤,C00-D48,肿瘤,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",0,1
C15,食管恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of oesophagus,0,1
C16,胃恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of stomach,0,1
C17,小肠恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of small intestine,0,1
C18,结肠恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of colon,0,1
C19,直肠乙状结肠连接处恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of rectosigmoid junction,0,1
C20,直肠恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of rectum,0,1
C21,肛门和肛管的恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of anus and anal canal,0,1
C22,肝和肝内胆管恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of liver and intrahepatic bile ducts,0,1
C23,胆囊恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of gallbladder,0,1
C24,胆道其他和未特指部位的恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and unspecified parts of biliary tract,0,1
C25,胰恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of pancreas,0,1
C26,消化器官其他和不明确的恶性肿瘤,C15-C26,消化器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and ill-defined digestive organs,0,1
C30,鼻腔和中耳恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of nasal cavity and middle ear,0,1
C31,鼻旁窦恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of accessory sinuses,0,1
C32,喉恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of larynx,0,1
C33,气管恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of trachea,0,1
C34,支气管和肺恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of bronchus and lung,0,1
C37,胸腺恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of thymus,0,1
C38,心脏、纵隔和胸膜恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,"Malignant neoplasm of heart, mediastinum and pleura",0,1
C39,呼吸系统和胸腔内器官其他和不明确部位的恶性肿瘤,C30-C39,呼吸和胸腔内器官恶性肿瘤,C00-D48,肿瘤,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,0,1
